title,region,calories,fat,carbs,protein,summary
"gobi pakora , how to make gobi pakoras or cauliflower fritters",indian,381,8,57,22,"Gobi pakora , how to make gobi pakoras or cauliflower fritters might be just the main course you are searching for. One portion of this dish contains around <b>19g of protein</b>, <b>7g of fat</b>, and a total of <b>342 calories</b>. This gluten free and vegan recipe serves 3 and costs <b>$1.13 per serving</b>. Many people made this recipe, and 633 would say it hit the spot. If you have chaat masala to sprinkle from above, ginger-garlic paste, shallow frying the pakoras, and a few other ingredients on hand, you can make it. To use up the salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-turnovers-recipe-48175"">Apple Turnovers Recipe</a> as a dessert. From preparation to the plate, this recipe takes around <b>50 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 96%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/tandoori-gobi-or-gobi-tikka-how-to-make-tandoori-gobi-gobi-s-487270"">tandoori gobi or gobi tikka, how to make tandoori gobi | gobi s</a>, <a href=""https://spoonacular.com/recipes/aloo-gobi-curry-how-to-make-punjabi-aloo-gobi-dhaba-style-486716"">aloo gobi curry, how to make punjabi aloo gobi | dhaba style</a>, and <a href=""https://spoonacular.com/recipes/aloo-gobi-restaurant-style-how-to-make-aloo-gobi-masala-486918"">aloo gobi restaurant style, how to make aloo gobi masala</a> for similar recipes."
Simple Coconut Chicken Curry,indian,1036,65,58,71,"Simple Coconut Chicken Curry might be just the <b>Indian</b> recipe you are searching for. For <b>$5.15 per serving</b>, this recipe <b>covers 66%</b> of your daily requirements of vitamins and minerals. One serving contains <b>1036 calories</b>, <b>71g of protein</b>, and <b>65g of fat</b>. Plenty of people made this recipe, and 26991 would say it hit the spot. A mixture of broccoli, curry paste, cornstarch, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the peanut oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/salted-peanut-toffee-cookies-160785"">Salted Peanut Toffee Cookies</a> as a dessert. It works well as an expensive main course. From preparation to the plate, this recipe takes around <b>35 minutes</b>. It is a good option if you're following a <b>gluten free and dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/simple-summertime-basil-chicken-curry-with-coconut-ginger-lime-rice-604852"">Simple Summertime Basil Chicken Curry with Coconut Ginger-Lime Rice</a>, <a href=""https://spoonacular.com/recipes/andhra-chicken-curry-kodi-kura-with-gravy-simple-chicken-curry-665997"">andhra chicken curry – kodi kura with gravy (simple chicken curry )</a>, and <a href=""https://spoonacular.com/recipes/simple-coconut-quinoa-and-lentil-curry-with-lime-mango-705061"">Simple Coconut Quinoan and Lentil Curry with Lime Mango</a> for similar recipes."
Chana Palak | Chole Palak |Spinach chickpeas curry,indian,569,22,76,23,"The recipe Chana Palak | Chole Palak |Spinach chickpeas curry is ready <b>in approximately 50 minutes</b> and is definitely a tremendous <b>gluten free and vegan</b> option for lovers of Indian food. This recipe makes 2 servings with <b>506 calories</b>, <b>22g of protein</b>, and <b>20g of fat</b> each. For <b>$3.53 per serving</b>, this recipe <b>covers 45%</b> of your daily requirements of vitamins and minerals. Plenty of people made this recipe, and 185 would say it hit the spot. It works well as a pretty expensive main course. A mixture of salt, chilies or, coriander powder, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the ginger paste you could follow this main course with the <a href=""https://spoonacular.com/recipes/caramelized-pineapple-macadamia-coconut-frozen-dessert-469821"">Caramelized Pineapple Macadamia Coconut Frozen Dessert</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/palak-chole-how-to-make-palak-chole-spinach-chickpeas-486681"">palak chole , how to make palak chole | spinach chickpeas</a>, <a href=""https://spoonacular.com/recipes/aloo-palak-aloo-palak-gravy-potato-spinach-curry-600768"">Aloo Palak | Aloo palak gravy | potato spinach curry</a>, and <a href=""https://spoonacular.com/recipes/spinach-chickpea-palak-chana-rice-661287"">Spinach Chickpea - Palak Chana Rice</a>."
"dal palak , how to make dal palak | palak dal",indian,343,11,44,18,"The recipe dal palak , how to make dal palak | palak dal could satisfy your Indian craving in roughly <b>45 minutes</b>. Watching your figure? This gluten free and vegetarian recipe has <b>343 calories</b>, <b>18g of protein</b>, and <b>11g of fat</b> per serving. This recipe serves 3 and costs 89 cents per serving. Plenty of people really liked this main course. Head to the store and pick up chili powder/lal mirch powder, turmeric powder/haldi, ginger, and a few other things to make it today. To use up the onion you could follow this main course with the <a href=""https://spoonacular.com/recipes/candy-corn-cupcakes-63881"">Candy Corn Cupcakes</a> as a dessert. This recipe from Veg Recipes of India has 299 fans. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/palak-dal-how-to-make-palak-dal-spinach-dal-487573"">palak dal , how to make palak dal | spinach dal</a>, <a href=""https://spoonacular.com/recipes/aloo-palak-how-to-make-aloo-palak-aloo-palak-curry-486890"">aloo palak, how to make aloo palak | aloo palak curry</a>, and <a href=""https://spoonacular.com/recipes/dinner-tonight-palak-aalu-palak-paneers-cousin-208659"">Dinner Tonight: Palak Aalu, Palak Paneer's Cousin</a> for similar recipes."
Absolutely Perfect Palak Paneer,indian,482,39,23,19,"Absolutely Perfect Palak Paneer might be just the <b>Indian</b> recipe you are searching for. This gluten free, primal, and vegetarian recipe serves 4 and costs <b>$4.39 per serving</b>. One serving contains <b>478 calories</b>, <b>18g of protein</b>, and <b>39g of fat</b>. Plenty of people made this recipe, and 578 would say it hit the spot. A mixture of ground coriander, spinach, olive oil, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the sour cream you could follow this main course with the <a href=""https://spoonacular.com/recipes/sour-cream-apple-pie-70374"">Sour Cream Apple Pie</a> as a dessert. It works best as a main course, and is done in around <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/palak-paneer-restaurant-style-punjabi-palak-paneer-600320"">Palak Paneer | Restaurant style Punjabi Palak Paneer</a>, <a href=""https://spoonacular.com/recipes/dinner-tonight-palak-aalu-palak-paneers-cousin-208659"">Dinner Tonight: Palak Aalu, Palak Paneer's Cousin</a>, and <a href=""https://spoonacular.com/recipes/palak-paneer-how-to-make-palak-paneer-paneer-s-488021"">palak paneer , how to make palak paneer | paneer s</a> for similar recipes."
Chickpea Curry with Spinach and Tomatoes,indian,444,7,82,17,"Chickpea Curry with Spinach and Tomatoes is a <b>gluten free and vegan</b> main course. One serving contains <b>618 calories</b>, <b>26g of protein</b>, and <b>10g of fat</b>. For <b>$1.44 per serving</b>, this recipe <b>covers 41%</b> of your daily requirements of vitamins and minerals. This recipe is typical of Indian cuisine. This recipe is liked by 204 foodies and cooks. If you have baby spinach, sunflower oil, cilantro, and a few other ingredients on hand, you can make it. To use up the brown rice you could follow this main course with the <a href=""https://spoonacular.com/recipes/brown-rice-pudding-247325"">Brown Rice Pudding</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>30 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/chickpea-curry-with-roasted-cauliflower-and-tomatoes-152693"">Chickpea Curry with Roasted Cauliflower and Tomatoes</a>, <a href=""https://spoonacular.com/recipes/eggplant-chickpea-curry-with-tomatoes-basil-616492"">Eggplant & Chickpea Curry with Tomatoes & Basil</a>, and <a href=""https://spoonacular.com/recipes/chickpea-and-spinach-curry-31636"">Chickpean and Spinach Curry</a> for similar recipes."
Chickpea Curry with Roasted Cauliflower and Tomatoes,indian,353,11,53,16,"Chickpea Curry with Roasted Cauliflower and Tomatoes might be just the <b>Indian</b> recipe you are searching for. Watching your figure? This gluten free and vegan recipe has <b>349 calories</b>, <b>16g of protein</b>, and <b>11g of fat</b> per serving. This recipe serves 4. For <b>$2.93 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. Several people really liked this main course. Head to the store and pick up baby spinach, chickpeas, olive oil, and a few other things to make it today. To use up the curry powder you could follow this main course with the <a href=""https://spoonacular.com/recipes/curry-ice-cream-with-mango-and-pistachio-539368"">Curry Ice Cream with Mango and Pistachio</a> as a dessert. 220 people have made this recipe and would make it again. From preparation to the plate, this recipe takes about <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/vadouvan-roasted-cauliflower-with-harissa-chickpea-curry-736224"">Vadouvan-Roasted Cauliflower with Harissa Chickpea Curry</a>, <a href=""https://spoonacular.com/recipes/chickpea-and-cauliflower-curry-30406"">Chickpean And Cauliflower Curry</a>, and <a href=""https://spoonacular.com/recipes/chickpea-curry-with-cauliflower-577749"">Chickpea Curry with Cauliflower</a> for similar recipes."
Thai Red Curry Lentils with Cauliflower and Carrot,indian,927,57,82,32,"Need a <b>gluten free and vegan main course</b>? Thai Red Curry Lentils with Cauliflower and Carrot could be an awesome recipe to try. For <b>$2.4 per serving</b>, this recipe <b>covers 43%</b> of your daily requirements of vitamins and minerals. This recipe makes 4 servings with <b>912 calories</b>, <b>31g of protein</b>, and <b>57g of fat</b> each. Head to the store and pick up bell pepper, coconut milk, garlic, and a few other things to make it today. To use up the canned coconut milk you could follow this main course with the <a href=""https://spoonacular.com/recipes/healthy-key-lime-tarts-496341"">Healthy Key Lime Tarts</a> as a dessert. From preparation to the plate, this recipe takes about <b>40 minutes</b>. 264 people have made this recipe and would make it again. This recipe is typical of Indian cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/purple-cauliflower-thai-green-coconut-curry-with-carrot-noodles-606356"">Purple Cauliflower Thai Green Coconut Curry with Carrot Noodles</a>, <a href=""https://spoonacular.com/recipes/thai-red-curry-with-vegetables-917840"">Thai Red Curry with Vegetables</a>, and <a href=""https://spoonacular.com/recipes/thai-red-curry-cauliflower-rice-720886"">Thai Red Curry Cauliflower Rice</a> for similar recipes."
Curry coconut fish parcels,indian,521,5,77,43,"Curry coconut fish parcels is an Indian recipe that serves 2. One serving contains <b>521 calories</b>, <b>43g of protein</b>, and <b>5g of fat</b>. For <b>$6.97 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. A mixture of soy sauce, lime zest, basmati rice, and a handful of other ingredients are all it takes to make this recipe so flavorful. It works best as a main course, and is done in around <b>25 minutes</b>. This recipe from BBC Good Food has 287 fans. It is a good option if you're following a <b>gluten free, dairy free, and pescatarian</b> diet. With a spoonacular <b>score of 99%</b>, this dish is super. <a href=""https://spoonacular.com/recipes/coconut-curry-fish-470665"">Coconut Curry Fish</a>, <a href=""https://spoonacular.com/recipes/fish-in-coconut-milk-curry-127849"">Fish in Coconut Milk Curry</a>, and <a href=""https://spoonacular.com/recipes/indian-fish-coconut-curry-602566"">Indian Fish Coconut Curry</a> are very similar to this recipe."
Meatless Monday: Red Lentil and Spinach Masala,indian,495,30,46,17,"The recipe Meatless Monday: Red Lentil and Spinach Masala could satisfy your Indian craving in roughly <b>45 minutes</b>. This recipe makes 4 servings with <b>495 calories</b>, <b>17g of protein</b>, and <b>30g of fat</b> each. For <b>$1.8 per serving</b>, this recipe <b>covers 35%</b> of your daily requirements of vitamins and minerals. It works well as a main course. Head to the store and pick up garam masala, coconut milk, garlic cloves, and a few other things to make it today. To use up the sea salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/raspberry-sea-salt-brownies-494161"">Raspberry Sea Salt Brownies</a> as a dessert. This recipe is liked by 4355 foodies and cooks. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/carrot-apple-lentil-soup-with-herb-goat-cheese-meatless-monday-612238"">Carrot Apple Lentil Soup with Herb Goat Cheese (Meatless Monday)</a>, <a href=""https://spoonacular.com/recipes/meatless-monday-healthy-italian-spinach-pie-556716"">Meatless Monday: Healthy Italian Spinach Pie</a>, and <a href=""https://spoonacular.com/recipes/fettuccine-with-lemon-mushrooms-and-spinach-meatless-monday-524396"">Fettuccine with Lemon Mushrooms and Spinach (Meatless Monday)</a> for similar recipes."
Skinny Kale & Tomato Quiche,french,355,8,19,52,"The recipe Skinny Kale & Tomato Quiche is ready <b>in approximately 45 minutes</b> and is definitely an amazing <b>gluten free, primal, fodmap friendly, and vegetarian</b> option for lovers of Mediterranean food. This recipe makes 1 servings with <b>355 calories</b>, <b>52g of protein</b>, and <b>8g of fat</b> each. For <b>$3.73 per serving</b>, this recipe <b>covers 42%</b> of your daily requirements of vitamins and minerals. This recipe is liked by 811 foodies and cooks. Many people really liked this main course. A mixture of cayenne pepper, basil, mozzarella cheese, and a handful of other ingredients are all it takes to make this recipe so yummy. To use up the salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-turnovers-recipe-48175"">Apple Turnovers Recipe</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/skinny-kale-butternut-squash-quiche-627007"">Skinny Kale & Butternut Squash Quiche</a>, <a href=""https://spoonacular.com/recipes/tomato-basil-and-kale-quiche-584103"">Tomato, Basil and Kale Quiche</a>, and <a href=""https://spoonacular.com/recipes/quiche-with-kale-tomato-and-leek-472093"">Quiche with Kale, Tomato, and Leek</a> for similar recipes."
Vegan Asparagus & Fennel Quiche (with a Quinoa Crust),french,350,15,40,18,"Vegan Asparagus & Fennel Quiche (with a Quinoa Crust) might be just the <b>Mediterranean</b> recipe you are searching for. This recipe makes 6 servings with <b>316 calories</b>, <b>16g of protein</b>, and <b>14g of fat</b> each. For <b>$2.05 per serving</b>, this recipe <b>covers 24%</b> of your daily requirements of vitamins and minerals. 502 people were impressed by this recipe. Head to the store and pick up asparagus, garlic, dijon mustard, and a few other things to make it today. To use up the lemon juice you could follow this main course with the <a href=""https://spoonacular.com/recipes/lemon-shortbread-cookies-with-lemon-icing-a-tribute-to-aunt-roxanne-487814"">Lemon Shortbread Cookies with Lemon Icing {A Tribute to Aunt Roxanne}</a> as a dessert. It works well as a main course. It is a good option if you're following a <b>gluten free and vegan</b> diet. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 96%</b>. This score is amazing. Similar recipes include <a href=""https://spoonacular.com/recipes/asparagus-baby-artichoke-pesto-and-goat-cheese-quiche-with-quinoa-crust-248274"">Asparagus, Baby Artichoke, Pesto and Goat Cheese Quiche with Quinoa Crust</a>, <a href=""https://spoonacular.com/recipes/spinach-and-feta-quiche-with-quinoa-crust-706747"">Spinach and Feta Quiche with Quinoa Crust</a>, and <a href=""https://spoonacular.com/recipes/spinach-feta-quiche-with-quinoa-crust-623565"">Spinach Feta Quiche with Quinoa Crust</a>."
Golden French Lentil Stew from Oh She Glows Every Day,french,607,25,78,29,"Golden French Lentil Stew from Oh She Glows Every Day might be just the main course you are searching for. This recipe serves 4 and costs $3.39 per serving. Watching your figure? This gluten free and vegan recipe has <b>580 calories</b>, <b>28g of protein</b>, and <b>25g of fat</b> per serving. Plenty of people made this recipe, and 270 would say it hit the spot. It is perfect for <b>Autumn</b>. This recipe is typical of Mediterranean cuisine. A mixture of olive oil, canned tomatoes, water, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the celery you could follow this main course with the <a href=""https://spoonacular.com/recipes/pistachio-shortbread-cookies-557632"">Pistachio Shortbread Cookies</a> as a dessert. From preparation to the plate, this recipe takes about <b>1 hour and 10 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/golden-french-lentil-soup-+-giveaway-802909"">Golden French Lentil Soup + Giveaway</a>, <a href=""https://spoonacular.com/recipes/french-lentil-soup-stew-527961"">French Lentil Soup/Stew</a>, and <a href=""https://spoonacular.com/recipes/french-in-a-flash-olivey-french-lentil-and-barley-salad-198358"">French in a Flash: Olivey French Lentil and Barley Salad</a> for similar recipes."
