title,region,instructions
"gobi pakora , how to make gobi pakoras or cauliflower fritters",indian,"boil enough water with salt.break or chop the cauliflower in medium sized florets.rinse them well and add them to the boiling water.switch off the flame and let the cauliflower florets be immersed in the water for 10-12 minutes.drain and then marinate the cauliflower with red chili powder, turmeric powder, ginger-garlic paste, garam masala powder. mix very well and keep aside for 8-10 minutes.in another bowl, make a smooth batter with the besan/gram flour, asafoetida, baking soda or baking powder, salt and water.heat oil in a kadai or deep fryer.take each marinated cauliflower and dip in the batter.coat each floret with the batter and add these in the medium hot oil.fry till the pakoras are crisp and golden evenly.drain on paper towels.serve the gobi pakora hot or warm with any green chutney or sauce, sprinkled with chaat masala, lemon juice and chopped coriander leaves."
Simple Coconut Chicken Curry,indian,"In a medium size pan over medium-high heat add peanut peanut oil. Toss the chicken with the curry powder and saute until cooked, about 5-8 minutes. Remove from pan and set aside. In the same pan add more oil if needed and saute the broccoli, garlic and ginger. After a few minutes, add the coconut milk and let simmer for 5-8 minutes. The broccoli should soften but still be tender-crisp.Add the curry paste to the pan and stir it until it combines with the coconut milk. Slide back in the chicken and any juices. Bring to a slight boil and add the cornstarch. Boil for about a minute, then reduce heat and let cool slightly (about another 2 to three minutes). Sauce will thicken as the mixture cools. Watch it closely, you do not want it to get to thick!Serve over white or brown rice."
Chana Palak | Chole Palak |Spinach chickpeas curry,indian,"Wash chickpeas under running cold water till water runs clear. Soak them for 8-10 hours or overnight.Drain and then pressure cook it with 1½ cups of water and salt for 1 whistle on high + 20 minutes on medium-low heat. Or cook it till they are soft. Let the pressure go down by itself.While chickpeas are cooking blanch tomato and spinach. For that, bring about 5-6 cups of water to a rolling boil. Add salt to it, then add spinach, cook for 3 minutes. Drain all the water and run cold water to it so it stops cooking.Now let the water comes to a boil again. Make a cross at the bottom of the tomato. Blanch it into water for 4-5 minutes or till the skin will start to comes off. Immediately drop into cold water to stop cooking. Peel the skin off.Now first make cashew powder into grinder. After that, puree the tomato. And then puree spinach with green chilies. By this time chole should be cooked.Now heat the oil in a pan on medium heat. Once hot add cumin seeds. Let them sizzle a bit.Then add chopped onion. Add some salt and let it cook till it becomes light brown.Add ginger paste, garlic paste. Cook for a minute or till the raw smell of ginger garlic goes away.Add pureed tomato. Cook till moisture evaporates.Add coriander powder, garam masala and kasoori methi. Mix and cook for a minute.Now Add pureed spinach and mix well.Once curry comes a boil, sprinkle cashew nut powder. Mix it properly.Add cooked chana and mix. Add water if needed to adjust the gravy consistency. I have added ½ cup of water. Let it simmer for 5 minutes.Chana palak is ready to serve."
"dal palak , how to make dal palak | palak dal",indian,"pick and rinse the arhar dal very well.add the lentils in a pressure cooker.add turmeric powder, 2.5 cups water and stir.cover and pressure cook for 8 to 9 whistles or more till the dal has become soft and mushy. mash the lentils and keep aside.in another pan, heat oil or ghee or butter.add the cumin and fry them till fragrant and brown.add the chopped onions and saute till translucent.next add the crushed ginger+garlic+green chili and saute till the raw aroma of ginger and garlic disappears, about 20 to 30 seconds.add asafoetida, red chili powder, coriander powder and stir well.add the chopped spinach and saute till the spinach wilts.add the cooked and mashed dal.stir and then add 1 to 1.5 cups water or as required.season with salt and continue to simmer till the palak dal reaches the desired consistency.lastly sprinkle garam masala powder, lemon juice and stir.serve palak dal hot with rotis, parathas or steamed rice."
Absolutely Perfect Palak Paneer,indian,"In a large saucepan heat 3 tablespoons of olive oil and saute garlic, 1/2 tablespoon of ginger, red chilies (optional ingredient) and onion until brown.   Mix in the cumin, coriander, turmeric and sour cream (add more or less to achieve desired creaminess).  Add the spinach, handfuls at a time until it is cooked down, about 15 minutes total.  Remove from heat and allow to cool slightly.                        Pour spinach mixture into a blender or food processor and add the tomato, the remaining 1/2 tablespoon of ginger, and cilantro (add more or less according to taste).  Blend for 15 to 30 seconds, or until the spinach is finely chopped.  Pour back into the saucepan and keep warm over low heat.                        In a medium frying pan heat 3 tablespoons of olive oil over medium heat, and fry cheese until browned; drain and add to spinach.  Cook for 10 minutes on low heat.  Season with salt to taste."
Chickpea Curry with Spinach and Tomatoes,indian,"Warm the pot over medium-high heat. Add the oil and swirl to coat. Add the onion and sauté until tender, about 5 minutes. Stir in the garam masala and cook just 30 seconds. Add the chickpeas, crushed tomatoes, and diced tomatoes. Cook until the beans are hot, about 5 to 10 minutes. Add the spinach and cook until it wilts, about 2 minutes. Remove from heat and stir in the yogurt and sea salt. Serve with rice and garnish with fresh cilantro."
Chickpea Curry with Roasted Cauliflower and Tomatoes,indian,"Preparation                                                                    1. Preheat oven to 375°F. Toss cauliflower with 1 teaspoon olive oil and arrange in a single layer on one side of a rimmed baking sheet. Toss tomatoes with 1 teaspoon olive oil and arrange on other side of sheet. Season with salt and pepper. Roast until florets are browned in spots and tomatoes are soft, about 25 minutes.                                                                            2. In a medium pot, heat 2 teaspoons oil over medium-high. Cook onion, stirring occasionally, until golden brown, about 10 minutes. Add garlic, ginger, and curry powder and cook, stirring, until fragrant, about 1 minute.                                                                            3. Add chickpeas, tomatoes, and 2 cups water; bring to a boil. Reduce heat to medium, cover, and simmer 8 minutes.                                                                            4. Add cauliflower and cook until warmed through and chickpeas are tender, about 8 minutes. Stir in spinach and cilantro and season with salt. To serve, divide among 4 bowls (over rice, if desired).                                                                         Per serving: 508 calories, 11.56 g fat, 1.48 g saturated fat, 0 mg cholesterol, 84.66 g carbohydrates, 17.92 g protein, 13.7 g fiber                            Nutritional analysis provided by                                        Other                                                                                                Reprinted with permission from Meatless From the Kitchens of Martha Stewart Living, © 2013 Martha Stewart Living Omnimedia, Inc.For more than twenty years, the food editors and chefs in the kitchens at MARTHA STEWART LIVING have produced dozens of bestselling cookbooks, including Martha Stewart's Cooking School, Martha's American Food, Martha's Baking Handbook, Everyday Food: Great Food Fast, and Power Foods. MARTHA STEWART is the author of more than 75 books on cooking, entertaining, crafts, home-keeping, gardens, weddings, and decorating. She is the host of Cooking School on PBS."
Thai Red Curry Lentils with Cauliflower and Carrot,indian,"Heat the oil in a large pot.Add the onion, garlic and ginger.Cook for 5 minutes on medium heat, stirring.Add the red curry paste and cook for another minute or two, stirring.Add the coconut milk, brown sugar, lime juice, tamari and lentils.Simmer over low heat, covered, for about 15 minutes.Add the vegetables and cook for another 15-20 minutes, covered, stirring occasionally, until everything is soft and cooked. If it gets too thick as it's cooking, add a little water.Serve over rice or noodles with fresh cilantro and lime."
Curry coconut fish parcels,indian,"Heat oven to 200C/180C fan/gas 6. Tear off 4 large pieces of foil, double them up, then place a fish fillet in the middle of each. Spread over the curry paste. Divide the coconut, lime zest and juice, and soy between each fillet. Bring up the sides of the foil, then scrunch the edges and sides together to make 2 sealed parcels.
Put the parcels on a baking tray and bake for 10-15 mins. Tip the rice into a pan with plenty of water, and boil for 12-15 mins or until cooked. Drain well. Serve the fish on the rice, drizzle over the chilli sauce and scatter with sliced chilli. Serve with broccoli and lime wedges."
Meatless Monday: Red Lentil and Spinach Masala,indian,"In a large stock pot or Dutch oven, heat the oil. Saute the onion over medium-high heat until soft, 5 minutes. Add the garlic, ginger, serrano, cumin, garam masala, and coriander. Cook until very fragrant, 2 minutes. Carefully pour in the tomatoes, scraping up any brown bits that formed on the bottom of the pan. Cook, stirring occasionally, until the liquid has reduced and the tomato chunks have softened, 5 minutes. Add the coconut milk and 1 cup water. Bring to a boil over high heat. Stir in the lentils and reduce the heat to medium-low. Cook until the lentils are tender, 25-35 minutes, stirring occasionally to prevent the lentils from sticking to the bottom of the pan. Fold in the spinach and cook until wilted, 3 minutes. Serve alongside coconut rice."
Skinny Kale & Tomato Quiche,french,"Preheat the oven to 325°F, and coat a 9”-round baking pan with nonstick cooking spray.Coat a large pan with nonstick cooking spray, and preheat over medium-low heat for 1-2 minutes. Add the kale and salt, and sauté for 3-5 minutes, or until the kale wilts and turns dark green. Set aside.In a large bowl, whisk together the egg whites until just frothy. Whisk in the basil, thyme, rosemary, and cayenne. Spread the cooked kale over the bottom of the prepared pan. Sprinkle the diced tomatoes and mozzarella on top. Gently pour in the egg white mixture. Bake at 325°F for 40-45 minutes, or until the center has set and no longer jiggles. Cool in the pan for at least 5 minutes before slicing and serving."
Vegan Asparagus & Fennel Quiche (with a Quinoa Crust),french,"Preheat the oven to 200C/400F and grease a 9"" tart pan with coconut oil.Combine the ground flax and water in a small bowl and set aside to thicken.Stir together the cooked quinoa, nutritional yeast and salt. Add the coconut oil and flax mixture and mix well.Press mixture into the prepared tart pan and bake for 15 minutes, until lightly golden and dry.Turn the heat down to 180C/350FIn a large pan, warm the coconut oil over medium heat and add onions, fennel and carrots. Saut, stirring for approx 5 minutes. Add the asparagus; cook 2 minutes. Add the peas and garlic and cook for a final 2 minutes. Stir in the basil.In a blender or food processor, blend/process the remaining ingredients until very smooth. Remove to a bowl and stir though the sauted vegetables.Spread the filling over your prepared crust *, smooth over and bake for 30-40 minutes.Leave to cool for at least 15 minutes before serving.Serve warm or at room temperature."
Golden French Lentil Stew from Oh She Glows Every Day,french,"Put the cashews in a bowl and cover with a couple of inches of water. Soak for 1 to 2 hours or overnight. (For a quick-soak method, cover with boiling water and soak for 30 to 60 minutes.) Drain and rinse. Transfer the cashews to a high-speed blender along with 1/2 cup (125 mL) of the water. Blend on high until super smooth and creamy in texture. Set the cashew cream aside.In a large Dutch oven or stockpot, heat the oil over medium heat. Stir in the onion, garlic, and a couple pinches of salt, and saut until the onion is softened, 4 to 6 minutes.Stir in the carrots and celery, and cook for another few minutes or so. Stir in the cumin, thyme, and turmeric until combined.Add the diced tomatoes with their juices, lentils, broth, and remaining water. Increase the heat to high and bring to a low boil. Reduce the heat to medium and simmer, uncovered, for 30 to 35 minutes, until the lentils are tender.Stir in the cashew cream and chard. Add salt, pepper, and vinegar to taste. (The vinegars role is to add a little bit of brightness to the soup; add a bit at a time and keep tasting, as it can quickly overwhelm.) Cook for a couple of minutes over low-medium heat, until the chard is wilted, and then serve. This stew will keep in an airtight container in the fridge for up to 5 days, or you can freeze it for 1 to 2 months (always let it cool completely before storing). The stew will thicken after sitting in the fridge; you can thin it out with a bit of broth when you reheat it, if desired, or simply serve it thick with some crusty bread."
French Lentil and Hominy Chili,french,"Watch how to make this recipe.                    Heat a large Dutch oven over medium high heat. When it is hot, add the oil and diced onion. Cook for 3 minutes, stirring often with a wooden spoon. Add the garlic, jalapeno, yellow and red peppers and continue to cook, stirring often, for an additional 4 minutes. Add the chili powder, cumin and salt and stir until the mixture is fragrant. Add the lentils, beer, tomatoes and 1 1/4 cup water and stir to combine. Bring to a simmer and reduce the heat to medium low. Cover the pot and simmer for 25 minutes. Uncover the chili and add the hominy. Continue to cook uncovered until the chili has thickened slightly and the lentils are cooked through, about 15 minutes more. Serve topped with the cilantro, avocado and cotija cheese. Finish with a squeeze of lime if desired."
French in a Flash: Crunchy Broiled Salmon with Beets,french,"Procedures                                                                              1                                                                            Bring a pot of water to boil.  Peel the beets, and cut each beet into 8 wedges.  Salt the boiling water, and boil the beets until tender to the point of a knife, about 25 minutes depending on the size of the beets.  Drain, and set aside.  Note: if cooking both golden and red beets, boil the two colors separately, or the red beets with stain the golden beets.                                                                                                                            2                                                                            Preheat the broiler.  While the beets are cooking, toast the panko.  In a small nonstick sauté pan, mix together the panko, 1 teaspoon olive oil, the rosemary, and salt and pepper.   Cook over medium heat, stirring often, until the panko is golden-brown—less than 5 minutes.  Set aside in a single layer on a paper towel to cool and remain crisp.                                                                                                                            3                                                                            Season each fillet of salmon with 1/2 teaspoon of olive oil and salt and pepper.  Make 4 piles of fresh thyme stems on a parchment-lined rimmed baking sheet, and place one piece of salmon on each bed of thyme, tucking the thyme under the salmon.  Toss the beets with 1 teaspoon olive oil, and salt and pepper.  Place between and alongside the salmon fillets.  Broil the salmon and beets about 6 inches from the heat source (the second rack placement from the top) until the salmon is crisp and golden on top and cooked through: 15 minutes.  If you prefer your salmon less well cooked, take it out after 10 to 12 minutes (Salmon should register 130° with an instant read thermometer inserted into the thickest part for medium rare, 150° for well-done).  Top with the rosemary panko crumbs, and serve right away."
Roasted Ratatouille Pasta,french,"Preheat the oven to 400 degrees. In a large mixing bowl, combined diced zucchini, eggplant, onion, and cherry tomatoes.In a small bowl, combine the olive oil, minced garlic, sun-dried tomatoes, tomato paste, and 1 tablespoon minced onion. Add the herbs, salt, and pepper. Add this mixture to the vegetables and toss until everything is well coated.Line a sheet pan with non-stick foil or parchment paper. Spread the vegetables evenly on the pan. Place in the oven and roast for 45 minutes, stirring the vegetables once halfway through baking.Cook your spaghetti until al dente and toss with the roasted ratatouille, fresh basil, parsley, and parmesan. Serve!"
Spicy Roasted Ratatouille with Spaghetti,french,"Preheat oven to 425 degrees Fahrenheit with two racks in the middle positions. On a quarter pan or small baking dish, toss the whole baby tomatoes with 2 tablespoons olive oil and a sprinkle of salt and pepper. Set aside.In a large mixing bowl, combine the diced eggplant, zucchini, yellow squash, bell pepper and onion. Whisk together  cup olive oil, the balsamic vinegar, garlic, salt, a few generous twists black pepper and a pinch of red pepper flakes. Drizzle it over the vegetables and toss with your hands or a large spoon until the vegetables are evenly coated.On a half-sheet pan or other large, rimmed baking sheet, arrange the vegetables in a single layer. Place the tomatoes on the lower oven rack and the vegetables on the upper rack. Set the timer for 20 minutes.Meanwhile, bring a large post of salted water to boil. Cook pasta until al dente, according to package directions. Before draining, reserve about 1 cup pasta cooking water. Transfer the cooked pasta to a large serving bowl.After 20 minutes, remove both pans from the oven. The tomatoes should be bursting and juicy by now, in which case, theyre done cooking. Use a spatula to toss the vegetables, then arrange them in a single layer again and put them back in the oven for an additional 10 minutes or so, until they are cooked through and golden.Pour the cherry tomatoes and their juices over the spaghetti into the serving bowl. If you want your pasta to be pretty cheesy, nows the time to sprinkle on a generous handful of shredded Parmesan. Add a baby splash of pasta cooking water and toss until the pasta is coated with a light tomato sauce. Add the cooked vegetables to the bowl and toss to combine. Sprinkle with the chopped fresh herbs and season with additional salt, pepper and red pepper flakes until the flavors really sing. Serve with Parmesan on the side."
French Country Beef Stew,french,"Heat oil in a 4- to 5-quart Dutch oven over medium-high heat. Add bacon and cook, stirring often, until lightly browned, 3 to 5 minutes. Add onions, carrots and celery; cook, stirring often, until the vegetables are softened and lightly browned, 8 to 10 minutes. Add broth, wine, thyme, bay leaves and orange zest. Bring to a boil.Rinse beef with cool water to remove any bone bits. Place the beef in a 5- to 6-quart slow cooker and turn heat to high. Carefully pour the hot vegetable mixture over the beef. Put the lid on and cook until the beef is falling-apart tender when prodded with a fork, 6 to 7 hours.Preheat oven to 350F. Using a slotted spoon, transfer the cooked beef to a bowl. Lift out the bones. Scoop marrow out and add to the meat, if desired; discard bones. Break the meat into 2- to 3-inch chunks with a spoon. Cover and keep warm.Discard the bay leaves and orange zest from the sauce; skim fat. Pour the sauce into a large skillet. Bring to a boil over high heat. Boil, skimming froth from time to time, for about 20 minutes, to intensify flavors and thicken slightly. Season with pepper. Add the beef and heat through. To serve, ladle the stew into bowls and sprinkle with watercress (or parsley). Baked Beef Stew variation: Total: 4 1/4 hours Preheat oven to 350F. In Step 1, use only 1 1/2 cups broth and 1 1/2 cups red wine. In Step 2, place beef and vegetables in a Dutch oven, cover and bake for 3 to 3 1/2 hours. Skim fat. Discard the bay leaves and orange zest. Lift out the bones, scoop marrow and add, if desired; discard the bones. Break the meat into chunks. Blend 2 tablespoons cornstarch with 1/4 cup water; stir into the stew. Return the pan to the oven and bake, uncovered, stirring occasionally, until bubbling, 25 to 30 minutes."
Boozy Slow-Cooker French Dips,french,"Sprinkle your roast with salt and pepper, then lightly rub the mustard into the meat on all sides.Place roast in a crock pot. Add beer, onions, whiskey, garlic, and beef stock to the crock pot (just pour the liquids right over the roast!). Cover and cook on low for 6-8 hours.Pull roast out of crock pot and let it rest on a cutting board. While meat is resting, use a large spoon to skim any fat off the surface of the liquid left in the crock pot. I use those reserved juices as my au jus dipping sauce, but if you’d like to make a separate au jus, just sauté some onions and garlic in a bit of butter and add a few cups of beef stock to make a new sauce for dipping.Slice the roast beef and pile it high between two baguette halves. Ladle up a cup of reserved liquid from the crock pot to dip each sandwich in and serve immediately."
Raw or cooked ratatouille,french,"Combine all the ingredients except for th epine nuts in a large mixing bowl. Adjust the seasonings to taste (you can add more herbs if you like, or more lemon for a more tart taste).Let all the ingredients marinate for a few hours, so that the flavors marry. If you're serving it cool, simply stir in the pine nuts or legumes and plate. If you're heating it, use one of the options below, and stir in the pine nuts or legumes right before serving.OVEN OPTION: Preheat the oven to 400F. Place the vegetables in a small casserole dish and cook for 15 minutes. Give the vegetables a stir, and cook for another 10 minutes, or until they're soft throughout. DEHYDRATOR OPTION: Set your dehydrator to 140F. Spread the vegetables onto two Teflex-lined dehydrator sheets, and dehydrate for an hour before serving them warm. If you keep the dish raw, it will last overnight in the fridge. If you cook or dehydrate it, it will last for up to 3 days."
Inside-Out Lasagna,italian,"Bring a large pot of water to a boil. Add pasta; cook until just tender, 8 to 10 minutes or according to package directions. Drain and transfer to a large bowl.Meanwhile, heat oil in a large nonstick skillet over medium heat. Add onion and garlic and cook, stirring, until soft and beginning to brown, about 3 minutes. Add mushrooms, salt and pepper and cook, stirring, until the mushrooms release their liquid, 4 to 6 minutes.Add tomatoes, spinach and crushed red pepper (if using). Increase heat to medium-high; cook, stirring once halfway through, until the spinach is wilted, about 4 minutes.Toss the sauce with the pasta and divide among 4 bowls. Dollop each serving with 3 tablespoons of ricotta."
Thai Chicken Pizza,italian,"Preheat oven to 375 degrees F.Mix all sauce ingredients in small bowl and microwave for 30 seconds.Spread sauce on your tortilla.Add all the toppings (except peanuts & spinach).Bake directly on rack for 15-20 minutes until brown around the edges.Remove, add chopped peanuts and spinach."
Italian Sausage Stew with White Beans and Kale,italian,"In a large skillet, heat olive oil over medium-high heat. Add onion, carrot, and Italian sausage. Cook, stirring frequently and breaking up sausage, until sausage is browned and cooked through and onions are translucent. Add kale and continue to stir and cook until kale is wilted (1-2 minutes).Add tomatoes, beans, and broth and cook until heated through. If you desire the stew to be more soup-like, add more broth. Serve garnished with croutons, fresh parsley and grated Parmesan cheese."
Roasted Cauliflower Lasagna,italian,"Preheat the oven to 425 degrees F.                          Toss the cauliflower in a bowl with 1 tablespoon of the olive oil and 1/2 teaspoon salt. Spread the florets in an even layer on a baking sheet and roast, tossing once, until tender and golden brown in spots, 30 to 35 minutes. Cool slightly.                          Put the tomatoes in a medium bowl and use your hands to crush them. Rinse the can with 1 1/2 cups water and add it to the bowl of tomatoes.                          Heat the remaining tablespoon of oil with 4 cloves sliced garlic and 1/2 teaspoon salt in a small Dutch oven over medium heat until the garlic begins to sizzle and becomes aromatic, about 2 minutes. Add the bell pepper and cook, stirring, until soft, about 8 minutes. Add the tomato paste and stir to incorporate, about 30 seconds. Add the crushed tomatoes with their juice and 4 large leaves of basil. Bring to a boil, reduce the heat and simmer, stirring occasionally, until the sauce is thickened, about 40 minutes. You should have about 3 3/4 cups of sauce.                          Meanwhile, bring a large pot of water to a boil. Drop the lasagna noodles one at a time into the pot. Cook according to the package directions until al dente. Drain the noodles in a colander. Add 1 to 2 teaspoons oil to the noodles, tossing to coat to prevent them from sticking, and drape over the side of a large bowl.                          Combine the ricotta, egg, 1 1/2 cups of the roasted cauliflower and 1 chopped clove garlic in a food processor and pulse until evenly pureed. Tear the remaining basil into small pieces, add to the food processor and pulse 3 to 4 more times to chop the basil finely, but not puree. Transfer the mixture to a medium bowl.                          Assemble the lasagna: Spread a thin layer of sauce (around 1/4 cup) on the bottom of a 9-by-13-inch baking dish. Lay 4 of the noodles on the bottom, without overlapping, cutting to fit, if necessary. Spread with half of the cauliflower-ricotta mixture, followed by half of the roasted cauliflower, one-third of the tomato sauce, one-third of the mozzarella and one-third of the Parmesan. Loosely fit 3 more noodles on top of the cheese without overlapping. Spread with the remaining cauliflower-ricotta mixture, followed by the remaining roasted cauliflower, one-third more of the tomato sauce, one-third more of the mozzarella and one-third more of the Parmesan. Top with the remaining 4 lasagna noodles, cutting just to fit. Then add the remaining tomato sauce, mozzarella and Parmesan. Cover with foil and bake until bubbly and hot, about 20 minutes. Remove the foil and cook until the cheese begins to brown, about 10 minutes more. Allow to rest for 10 minutes so the lasagna will cut more easily. Garnish with the parsley."
Pizza Sliders,italian,"Preheat oven to 350 degrees F.Slice rolls in half, and arrange the bottom halves in a single layer in a baking dish. Spread about 1 tbsp. of sauce on each roll, top with desired toppings and mozzarella.Bake without the top halves of the rolls in the preheated oven for five minutes. Carefully place the top half of a roll on each sandwich, and bake another 7-10 minutes, or until rolls are golden brown."
